,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend
0,AXISBANK,EQ,2017-05-16,500.1,502.1,504.5,493.5,502.05,501.5,499.85,8610492,4303938307.25,101028,4027982,46.78,0.2799440111977525,Slight or No change
1,AXISBANK,EQ,2017-05-17,501.5,501.35,506.75,498.5,502.0,502.8,502.88,6443135,3240154192.85,84189,2876528,44.64,0.25922233300099684,Slight or No change
2,AXISBANK,EQ,2017-05-18,502.8,498.0,499.1,490.25,492.85,492.0,494.96,9227022,4566992829.2,95624,5348691,57.97,-2.1479713603818618,Negative
3,AXISBANK,EQ,2017-05-19,492.0,495.75,503.85,494.2,501.9,501.7,499.1,7611430,3798899956.75,72985,4190505,55.06,1.97154471544716,Positive
4,AXISBANK,EQ,2017-05-22,501.7,504.0,507.45,499.5,502.0,502.3,503.0,4970982,2500382611.3,62027,2665857,53.63,0.11959338249951657,Slight or No change
5,AXISBANK,EQ,2017-05-23,502.3,502.25,506.1,495.2,500.5,500.6,500.17,7549551,3776028090.15,69512,4120666,54.58,-0.33844316145729136,Slight or No change
6,AXISBANK,EQ,2017-05-24,500.6,503.0,505.0,495.0,499.65,499.3,498.39,7271148,3623901991.2,61592,4986725,68.58,-0.2596883739512612,Slight or No change
7,AXISBANK,EQ,2017-05-25,499.3,502.0,509.9,495.85,507.85,507.45,504.39,9157557,4619022578.05,106201,4220728,46.09,1.6322851992789822,Positive
8,AXISBANK,EQ,2017-05-26,507.45,508.0,513.0,505.0,510.5,511.45,508.86,5995136,3050682634.7,72779,2824290,47.11,0.7882550004926658,Slight positive
9,AXISBANK,EQ,2017-05-29,511.45,511.9,515.0,502.2,507.45,507.25,507.58,5441466,2761995514.45,62036,2462115,45.25,-0.8211946426825656,Slight negative
10,AXISBANK,EQ,2017-05-30,507.25,505.0,516.95,503.65,514.0,514.4,512.4,4725430,2421320429.3,81509,1690453,35.77,1.4095613602759904,Positive
11,AXISBANK,EQ,2017-05-31,514.4,514.0,516.0,509.5,514.05,514.05,513.03,7263061,3726174066.4,127912,4571507,62.94,-0.06804043545879379,Slight or No change
12,AXISBANK,EQ,2017-06-01,514.05,512.15,515.95,505.5,510.0,509.3,509.17,8105813,4127264524.85,50261,5638214,69.56,-0.9240346269817956,Slight negative
13,AXISBANK,EQ,2017-06-02,509.3,513.5,513.5,506.35,507.5,508.05,509.46,4474040,2279364538.5,69112,2589478,57.88,-0.24543491066169043,Slight or No change
14,AXISBANK,EQ,2017-06-05,508.05,507.35,516.75,507.0,513.8,513.65,513.15,3858825,1980139067.3,57915,1623770,42.08,1.1022537151855083,Positive
15,AXISBANK,EQ,2017-06-06,513.65,514.0,514.4,505.55,509.75,510.2,509.31,3866339,1969153338.35,42061,1846559,47.76,-0.6716635841526264,Slight negative
16,AXISBANK,EQ,2017-06-07,510.2,510.0,515.45,508.1,514.45,514.2,511.95,3389166,1735093532.1,63216,1606010,47.39,0.7840062720501972,Slight positive
17,AXISBANK,EQ,2017-06-08,514.2,514.0,521.8,511.35,515.0,515.75,517.07,5980728,3092442242.75,91962,2729718,45.64,0.3014391287436746,Slight or No change
18,AXISBANK,EQ,2017-06-09,515.75,515.0,516.35,509.4,513.1,513.65,513.11,3242063,1663543219.0,49349,1170363,36.1,-0.40717401841978695,Slight or No change
19,AXISBANK,EQ,2017-06-12,513.65,512.45,513.1,506.0,507.15,507.5,509.94,2360518,1203731095.4,43179,977595,41.41,-1.1973133456633867,Negative
20,AXISBANK,EQ,2017-06-13,507.5,509.0,512.3,505.5,507.0,506.45,508.42,2181945,1109348608.65,51764,950074,43.54,-0.206896551724145,Slight or No change
21,AXISBANK,EQ,2017-06-14,506.45,509.0,510.9,501.55,508.85,509.5,507.45,4648343,2358824391.2,66054,2697523,58.03,0.602231217296878,Slight positive
22,AXISBANK,EQ,2017-06-15,509.5,508.85,509.3,504.0,507.4,507.6,506.77,3425367,1735867326.8,58545,2109450,61.58,-0.3729146221785995,Slight or No change
23,AXISBANK,EQ,2017-06-16,507.6,507.65,514.3,507.5,509.15,510.45,510.27,4999502,2551090212.15,56697,2959675,59.2,0.5614657210401885,Slight positive
24,AXISBANK,EQ,2017-06-19,510.45,511.0,525.35,509.3,518.0,520.15,517.27,6844723,3540560814.15,70602,3499580,51.13,1.9002840630816031,Positive
25,AXISBANK,EQ,2017-06-20,520.15,520.2,521.7,510.5,512.95,511.85,515.15,4388846,2260923459.8,55076,2203975,50.22,-1.5956935499375047,Negative
26,AXISBANK,EQ,2017-06-21,511.85,511.05,512.5,506.75,507.35,507.75,509.19,4346995,2213466122.65,73840,2500935,57.53,-0.8010159226335856,Slight negative
27,AXISBANK,EQ,2017-06-22,507.75,508.9,514.45,506.65,508.0,508.0,510.48,3463745,1768166637.3,67487,1707367,49.29,0.0492368291482137,Slight or No change
28,AXISBANK,EQ,2017-06-23,508.0,509.6,510.45,503.65,505.0,504.65,506.14,3548884,1796247623.15,55281,1827409,51.49,-0.6594488188976455,Slight negative
29,AXISBANK,EQ,2017-06-27,504.65,506.0,506.7,484.45,494.0,492.85,491.01,9842829,4832887696.4,110049,6251831,63.52,-2.3382542356088276,Negative
30,AXISBANK,EQ,2017-06-28,492.85,493.8,500.35,490.05,496.45,492.0,493.28,12691859,6260656806.25,76061,10038114,79.09,-0.1724662676270694,Slight or No change
31,AXISBANK,EQ,2017-06-29,492.0,498.0,514.4,497.7,510.7,512.1,510.39,11855524,6050881865.95,96263,4570578,38.55,4.085365853658551,Among top gainers
32,AXISBANK,EQ,2017-06-30,512.1,510.6,520.0,508.1,519.0,517.35,513.68,7600005,3903959967.35,70339,3757896,49.45,1.0251903925014627,Positive
